connections,test_acc,precision,recall,f1
"([[4, 17], [4, 21], [4, 25], [4, 37], [4, 106], [4, 107]], [[0, 4], [1, 1], [1, 4]])",0.8223,0.7091,0.7721,0.7305
"([[1, 25], [4, 17], [4, 21], [4, 25], [4, 106], [4, 107]], [[0, 4], [1, 1], [1, 4]])",0.821,0.7098,0.7686,0.7302
"([[4, 17], [4, 21], [4, 25], [4, 106], [4, 107], [4, 113]], [[0, 4], [1, 1], [1, 4]])",0.8223,0.7038,0.7751,0.7267
"([[1, 25], [4, 17], [4, 25], [4, 37], [4, 106], [4, 107]], [[0, 1], [0, 4], [1, 4]])",0.822,0.7083,0.7717,0.7297
"([[1, 25], [4, 21], [4, 25], [4, 37], [4, 106], [4, 109]], [[0, 4], [1, 1], [1, 4]])",0.822,0.7085,0.7716,0.7298
"([[1, 25], [4, 17], [4, 21], [4, 25], [4, 37], [4, 106]], [[0, 4], [1, 1], [1, 4]])",0.8208,0.706,0.7699,0.7274
"([[4, 17], [4, 21], [4, 25], [4, 37], [4, 106], [4, 109]], [[0, 4], [1, 1], [1, 4]])",0.8221,0.7087,0.7718,0.7301
"([[3, 17], [3, 21], [3, 25], [3, 37], [3, 106], [3, 109]], [[0, 1], [0, 3], [1, 3]])",0.8221,0.7087,0.7718,0.7301
"([[4, 17], [4, 21], [4, 25], [4, 37], [4, 106], [4, 107]], [[0, 1], [0, 4], [1, 4]])",0.8223,0.7091,0.7721,0.7305
"([[1, 25], [4, 17], [4, 21], [4, 25], [4, 34], [4, 37]], [[0, 1], [0, 4], [1, 4]])",0.7722,0.5391,0.8183,0.5093
