connections,test_acc,precision,recall,f1
"([[3, 25], [3, 34], [3, 37], [3, 98], [3, 106], [8, 115]], [[0, 3], [0, 8], [1, 3]])",0.8213,0.6918,0.7859,0.7178
"([[3, 25], [3, 34], [3, 37], [3, 98], [3, 106], [8, 25]], [[0, 3], [1, 3], [1, 8]])",0.8186,0.6942,0.7757,0.7182
"([[3, 25], [3, 34], [3, 37], [3, 98], [3, 106], [8, 25]], [[0, 3], [1, 3], [1, 8]])",0.8186,0.7,0.7718,0.7226
"([[3, 25], [3, 34], [3, 37], [3, 98], [3, 106], [8, 115]], [[0, 3], [0, 8], [1, 3]])",0.8195,0.6954,0.7773,0.7196
"([[4, 25], [4, 34], [4, 37], [4, 98], [4, 106], [8, 25]], [[0, 4], [0, 8], [1, 4]])",0.8181,0.691,0.7767,0.7155
"([[4, 21], [4, 25], [4, 34], [4, 37], [4, 98], [4, 104]], [[0, 4], [0, 8], [1, 4]])",0.8185,0.7233,0.7614,0.7383
"([[4, 25], [4, 34], [4, 37], [4, 98], [4, 106], [8, 115]], [[0, 4], [1, 4], [1, 8]])",0.8213,0.6918,0.7859,0.7178
"([[3, 25], [3, 34], [3, 37], [3, 98], [3, 106], [8, 25]], [[0, 3], [1, 3], [1, 8]])",0.8188,0.6943,0.7762,0.7184
"([[3, 17], [3, 25], [3, 37], [3, 98], [3, 106], [8, 25]], [[0, 3], [1, 3], [1, 8]])",0.8186,0.6972,0.7736,0.7205
"([[4, 25], [4, 34], [4, 37], [4, 98], [4, 106], [8, 115]], [[0, 4], [0, 8], [1, 4]])",0.8177,0.7292,0.7584,0.7413
