"([[6, 33], [8, 17], [8, 21], [8, 107]], [[0, 6], [0, 8], [1, 8]])",0.7664,0.5472,0.7756,0.5238
"([[8, 17], [8, 21], [8, 25], [8, 109]], [[0, 8], [1, 3], [1, 8]])",0.7717,0.5404,0.8279,0.511
"([[0, 33], [0, 39], [2, 17], [2, 25]], [[0, 0], [0, 2], [1, 2]])",0.7981,0.6657,0.7378,0.6856
"([[7, 33], [7, 106], [8, 25], [8, 109]], [[0, 7], [0, 8], [1, 8]])",0.8167,0.7259,0.7639,0.7408
"([[1, 25], [1, 107], [9, 106], [9, 110]], [[0, 1], [1, 1], [1, 9]])",0.8188,0.7178,0.7638,0.735
"([[8, 17], [8, 21], [8, 25], [8, 109]], [[0, 8], [1, 4], [1, 8]])",0.7657,0.54,0.7563,0.5123
"([[1, 33], [1, 39], [4, 25], [4, 109]], [[0, 4], [1, 1], [1, 4]])",0.809,0.6741,0.7518,0.6962
"([[2, 33], [2, 106], [7, 25], [7, 109]], [[0, 2], [0, 7], [1, 7]])",0.8198,0.7302,0.7619,0.7432
"([[6, 33], [6, 39], [7, 25], [7, 109]], [[0, 7], [1, 6], [1, 7]])",0.8084,0.6775,0.7647,0.7006
"([[3, 33], [3, 39], [5, 25], [5, 109]], [[0, 3], [0, 5], [1, 5]])",0.8121,0.6819,0.7665,0.7054
