"([[0, 106], [9, 25], [9, 34], [9, 37]], [[0, 9], [1, 0], [1, 9]])",0.8167,0.6908,0.778,0.7152
"([[4, 17], [4, 25], [4, 37], [4, 104]], [[0, 4], [0, 9], [1, 4]])",0.8057,0.7496,0.7401,0.7445
"([[0, 33], [6, 17], [6, 21], [6, 25]], [[0, 6], [1, 0], [1, 6]])",0.7892,0.6187,0.755,0.6345
"([[0, 25], [0, 37], [5, 98], [5, 106]], [[0, 0], [0, 5], [1, 0]])",0.8212,0.6962,0.783,0.7213
"([[7, 17], [7, 21], [7, 25], [8, 33]], [[0, 7], [1, 7], [1, 8]])",0.7887,0.6225,0.7578,0.6387
"([[1, 25], [1, 34], [1, 37], [5, 106]], [[0, 1], [1, 1], [1, 5]])",0.8146,0.6792,0.7679,0.7034
"([[3, 106], [5, 25], [5, 34], [5, 37]], [[0, 5], [1, 3], [1, 5]])",0.8161,0.6879,0.7773,0.7125
"([[6, 25], [6, 37], [6, 98], [9, 106]], [[0, 6], [0, 9], [1, 6]])",0.8127,0.6921,0.7665,0.7144
"([[3, 106], [8, 25], [8, 34], [8, 37]], [[0, 3], [0, 8], [1, 8]])",0.8142,0.6848,0.7751,0.7092
"([[1, 33], [1, 39], [4, 21], [4, 25]], [[0, 1], [0, 4], [1, 4]])",0.8122,0.6872,0.771,0.7106
