connections,test_acc,precision,recall,f1
"([[8, 17], [8, 21], [8, 25], [8, 107]], [[0, 8], [1, 0], [1, 6]], [[1, 107]])",0.768,0.542,0.7917,0.5144
"([[4, 25], [6, 25], [6, 34], [9, 106]], [[0, 4], [0, 6], [0, 9]], [[1, 21]])",0.8139,0.7042,0.7606,0.7235
"([[6, 111], [8, 17], [8, 21], [8, 25]], [[0, 6], [0, 7], [0, 8]], [[1, 107]])",0.7808,0.5764,0.7813,0.5739
"([[6, 25], [6, 37], [6, 107], [6, 109]], [[0, 6], [1, 0], [1, 6]], [[0, 110]])",0.7699,0.547,0.7892,0.5236
"([[4, 25], [4, 106], [4, 107], [7, 110]], [[0, 7], [1, 4], [1, 6]], [[0, 107]])",0.8179,0.7191,0.7634,0.7358
"([[8, 17], [8, 25], [8, 106], [8, 107]], [[0, 0], [0, 6], [0, 8]], [[1, 107]])",0.815,0.7061,0.7623,0.7255
"([[2, 21], [2, 113], [4, 33], [4, 39]], [[0, 3], [0, 4], [1, 2]], [[0, 25]])",0.8065,0.6679,0.7624,0.6911
"([[2, 21], [2, 33], [7, 106], [7, 110]], [[0, 2], [0, 5], [0, 7]], [[1, 25]])",0.8159,0.7367,0.7556,0.7451
"([[8, 17], [8, 21], [8, 25], [8, 107]], [[0, 1], [0, 8], [1, 8]], [[1, 106]])",0.8148,0.7057,0.762,0.7251
"([[6, 21], [6, 25], [6, 107], [8, 4]], [[0, 6], [0, 8], [1, 6]], [[1, 106]])",0.8137,0.6937,0.7653,0.7157
