connections,test_acc,precision,recall,f1
"([[0, 25], [0, 34], [0, 37], [0, 98]], [[0, 0], [1, 0], [1, 3]], [[1, 106]])",0.8149,0.6949,0.773,0.718
"([[7, 25], [7, 98], [7, 104], [7, 106]], [[0, 6], [0, 7], [1, 7]], [[1, 21]])",0.8154,0.7296,0.7589,0.7417
"([[8, 25], [8, 34], [8, 35], [8, 98]], [[0, 8], [1, 7], [1, 8]], [[0, 37]])",0.7758,0.7267,0.7073,0.7152
"([[9, 21], [9, 37], [9, 49], [9, 104]], [[0, 0], [0, 7], [1, 9]], [[0, 98]])",0.7673,0.5469,0.7597,0.5247
"([[6, 21], [6, 33], [6, 104], [6, 106]], [[0, 6], [1, 1], [1, 7]], [[0, 25]])",0.8177,0.7054,0.7701,0.7266
"([[8, 25], [8, 34], [8, 37], [8, 98]], [[0, 8], [1, 2], [1, 8]], [[1, 106]])",0.8164,0.6913,0.7757,0.7154
"([[6, 33], [7, 17], [7, 21], [7, 25]], [[0, 7], [1, 6], [1, 7]], [[1, 25]])",0.7888,0.6188,0.7476,0.6347
"([[1, 39], [1, 104], [7, 33], [7, 98]], [[0, 0], [1, 1], [1, 7]], [[1, 25]])",0.8154,0.7381,0.7552,0.7458
"([[1, 25], [1, 37], [1, 98], [1, 106]], [[0, 1], [0, 7], [1, 1]], [[0, 34]])",0.816,0.6953,0.7719,0.7183
"([[0, 25], [5, 25], [5, 34], [5, 104]], [[1, 0], [1, 4], [1, 5]], [[0, 98]])",0.8149,0.7241,0.757,0.7374
"([[8, 17], [8, 21], [8, 25], [8, 104]], [[0, 8], [1, 7], [1, 8]], [[0, 106]])",0.8127,0.7056,0.7584,0.7241
"([[0, 25], [0, 104], [3, 4], [3, 33]], [[0, 0], [0, 3], [0, 5]], [[0, 25]])",0.8048,0.7342,0.7398,0.7369
