connections,test_acc,precision,recall,f1
"([[2, 17], [2, 21], [2, 104], [2, 107]], [[0, 2], [0, 9], [1, 2]], [[1, 25]])",0.7701,0.5396,0.8129,0.5098
"([[7, 17], [7, 44], [7, 49], [7, 107]], [[0, 7], [1, 5], [1, 7]], [[0, 21]])",0.7709,0.5411,0.8154,0.5126
"([[8, 17], [8, 21], [8, 37], [8, 107]], [[0, 8], [0, 9], [1, 8]], [[0, 25]])",0.7708,0.5409,0.8151,0.5122
"([[0, 36], [8, 17], [8, 25], [8, 107]], [[0, 8], [1, 0], [1, 8]], [[1, 21]])",0.7708,0.5409,0.8151,0.5122
"([[6, 25], [6, 37], [6, 106], [6, 107]], [[0, 6], [0, 7], [1, 6]], [[0, 21]])",0.8123,0.6938,0.7583,0.7145
"([[6, 21], [6, 25], [6, 106], [6, 107]], [[0, 6], [0, 8], [1, 6]], [[0, 25]])",0.8108,0.694,0.7547,0.7139
"([[5, 17], [5, 21], [5, 106], [5, 107]], [[0, 5], [1, 3], [1, 5]], [[1, 25]])",0.8109,0.6942,0.7549,0.7142
"([[5, 17], [5, 21], [5, 49], [5, 107]], [[0, 5], [1, 0], [1, 5]], [[1, 25]])",0.7708,0.5409,0.8151,0.5122
"([[7, 17], [7, 21], [7, 25], [7, 107]], [[0, 7], [1, 1], [1, 7]], [[0, 110]])",0.7792,0.5701,0.769,0.5649
"([[7, 17], [7, 21], [7, 25], [7, 104]], [[0, 7], [1, 7], [1, 8]], [[0, 107]])",0.7708,0.5409,0.8151,0.5122
