connections,test_acc,precision,recall,f1
"([[5, 17], [5, 21], [5, 25], [5, 104]], [[0, 5], [1, 0], [1, 5]], [[0, 98]])",0.8082,0.7269,0.7455,0.7351
"([[2, 25], [2, 37], [2, 100], [2, 104]], [[0, 0], [0, 2], [0, 3]], [[1, 21]])",0.8025,0.7432,0.7377,0.7403
"([[9, 21], [9, 25], [9, 37], [9, 98]], [[0, 1], [0, 9], [1, 9]], [[0, 106]])",0.815,0.6911,0.7727,0.7147
"([[7, 33], [7, 98], [9, 25], [9, 98]], [[0, 8], [1, 7], [1, 9]], [[0, 106]])",0.8199,0.7064,0.7757,0.7287
"([[5, 4], [5, 33], [9, 104], [9, 106]], [[1, 5], [1, 6], [1, 9]], [[0, 25]])",0.8132,0.7091,0.7585,0.7268
"([[2, 25], [2, 98], [9, 33], [9, 106]], [[0, 8], [1, 2], [1, 9]], [[1, 21]])",0.8186,0.7101,0.7703,0.7305
"([[8, 21], [8, 25], [8, 98], [8, 106]], [[0, 2], [0, 4], [1, 8]], [[0, 25]])",0.8146,0.6818,0.779,0.7068
"([[6, 21], [6, 25], [6, 37], [6, 98]], [[0, 1], [0, 6], [1, 6]], [[1, 106]])",0.8151,0.6909,0.7731,0.7146
"([[0, 25], [0, 34], [0, 37], [0, 98]], [[0, 0], [0, 9], [1, 3]], [[1, 106]])",0.8171,0.6914,0.7786,0.7159
"([[5, 21], [5, 25], [5, 34], [5, 37]], [[0, 5], [0, 7], [1, 4]], [[0, 98]])",0.7725,0.7347,0.7072,0.7173
