connections,test_acc,precision,recall,f1
"([[6, 17], [6, 25], [6, 109], [8, 106]], [[1, 6], [1, 8], [9, 6]], [[0, 1], [1, 1], [1, 9]])",0.8157,0.7062,0.762,0.7255
"([[5, 106], [6, 17], [6, 25], [6, 109]], [[0, 5], [0, 6], [5, 6]], [[0, 0], [0, 5], [1, 0]])",0.8146,0.701,0.7618,0.7213
"([[5, 106], [5, 110], [8, 25], [8, 109]], [[1, 5], [1, 8], [5, 8]], [[0, 1], [1, 1], [1, 5]])",0.8165,0.714,0.7607,0.7313
"([[6, 17], [6, 21], [6, 25], [8, 106]], [[1, 6], [1, 8], [9, 6]], [[0, 1], [0, 9], [1, 1]])",0.8142,0.7001,0.7611,0.7204
"([[6, 25], [6, 109], [8, 106], [8, 109]], [[1, 6], [1, 8], [5, 6]], [[0, 1], [0, 5], [1, 1]])",0.8151,0.7021,0.7626,0.7224
"([[5, 106], [6, 17], [6, 25], [6, 109]], [[0, 5], [0, 6], [5, 6]], [[0, 0], [1, 0], [1, 5]])",0.8151,0.7021,0.7626,0.7224
"([[6, 106], [6, 109], [8, 17], [8, 25]], [[2, 6], [2, 8], [3, 8]], [[0, 2], [1, 2], [1, 3]])",0.8147,0.7012,0.7619,0.7215
"([[5, 17], [5, 21], [5, 25], [5, 109]], [[0, 5], [9, 5], [9, 9]], [[0, 9], [1, 0], [1, 9]])",0.7689,0.5386,0.8149,0.5077
"([[6, 106], [6, 110], [8, 25], [8, 109]], [[1, 6], [1, 8], [5, 8]], [[0, 1], [0, 5], [1, 1]])",0.8159,0.7129,0.7599,0.7302
"([[6, 25], [6, 109], [8, 106], [8, 109]], [[1, 6], [1, 8], [5, 6]], [[0, 1], [1, 1], [1, 5]])",0.8153,0.7023,0.7627,0.7226
