connections,test_acc,precision,recall,f1
"([[3, 6], [4, 6], [4, 9], [9, 8], [9, 10]], [[0, 3], [0, 4], [1, 9]])",0.9333,0.9048,0.9556,0.9206
"([[0, 7], [0, 11], [4, 6], [4, 9], [9, 7]], [[0, 4], [1, 0], [1, 9]])",0.9333,0.9048,0.9556,0.9206
"([[0, 7], [7, 6], [7, 9], [8, 8], [8, 11]], [[0, 7], [1, 0], [2, 8]])",0.9333,0.9048,0.9556,0.9206
"([[0, 7], [3, 6], [3, 9], [8, 8], [8, 11]], [[0, 3], [1, 0], [2, 8]])",0.9333,0.9048,0.9556,0.9206
"([[0, 10], [1, 8], [1, 11], [8, 8], [8, 11]], [[1, 0], [2, 1], [2, 8]])",0.9333,0.9048,0.9556,0.9206
"([[0, 7], [7, 6], [7, 9], [8, 8], [8, 11]], [[0, 7], [1, 0], [2, 8]])",0.9333,0.9048,0.9556,0.9206
"([[3, 6], [3, 9], [4, 9], [8, 8], [8, 11]], [[0, 3], [0, 4], [2, 8]])",0.9333,0.9048,0.9556,0.9206
"([[0, 10], [6, 6], [6, 9], [8, 8], [8, 11]], [[0, 6], [1, 0], [2, 8]])",0.9333,0.9048,0.9556,0.9206
"([[0, 7], [6, 6], [6, 9], [8, 8], [8, 11]], [[0, 6], [1, 0], [2, 8]])",0.9333,0.9048,0.9556,0.9206
"([[0, 10], [7, 6], [7, 9], [8, 8], [8, 11]], [[0, 7], [1, 0], [2, 8]])",0.9333,0.9048,0.9556,0.9206
