connections,test_acc,precision,recall,f1
"([[4, 7], [4, 9], [4, 10], [6, 0], [6, 7]], [[1, 4], [2, 3], [2, 6]])",0.9333,0.9306,0.9306,0.9306
"([[3, 8], [4, 7], [4, 9], [4, 10], [6, 0]], [[1, 4], [2, 3], [2, 6]])",0.9333,0.9306,0.9306,0.9306
"([[3, 8], [4, 7], [4, 9], [4, 10], [6, 0]], [[1, 4], [2, 3], [2, 6]])",0.9333,0.9306,0.9306,0.9306
"([[3, 6], [3, 7], [4, 7], [4, 10], [6, 7]], [[1, 4], [2, 3], [2, 6]])",0.9333,0.9306,0.9306,0.9306
"([[1, 8], [3, 7], [3, 8], [4, 7], [4, 10]], [[0, 1], [0, 4], [2, 3]])",0.9,0.8889,0.9011,0.8933
"([[2, 8], [2, 10], [3, 6], [4, 7], [4, 10]], [[0, 2], [1, 4], [2, 3]])",0.9333,0.9306,0.9306,0.9306
"([[3, 6], [4, 7], [4, 9], [4, 10], [6, 7]], [[1, 4], [2, 3], [2, 6]])",0.9333,0.9306,0.9306,0.9306
"([[3, 8], [4, 7], [4, 9], [4, 10], [6, 0]], [[1, 4], [2, 3], [2, 6]])",0.9333,0.9306,0.9306,0.9306
"([[3, 6], [4, 7], [4, 9], [4, 10], [6, 0]], [[1, 4], [2, 3], [2, 6]])",0.9333,0.9306,0.9306,0.9306
"([[3, 8], [4, 7], [4, 9], [4, 10], [6, 7]], [[1, 4], [2, 3], [2, 6]])",0.9333,0.9306,0.9306,0.9306
