connections,test_acc,precision,recall,f1
"([[4, 6], [4, 9], [5, 8], [5, 10], [5, 11]], [[0, 4], [1, 5], [2, 5]], [[0, 6]])",0.9667,0.9583,0.9778,0.9663
"([[1, 7], [1, 8], [4, 9], [5, 7], [5, 8]], [[0, 4], [2, 1], [2, 5]], [[0, 6]])",0.9333,0.9345,0.9345,0.9345
"([[0, 8], [0, 11], [5, 7], [5, 8], [5, 11]], [[1, 5], [2, 0], [2, 5]], [[0, 9]])",0.9667,0.9583,0.9778,0.9663
"([[1, 8], [1, 10], [4, 8], [5, 8], [5, 11]], [[1, 1], [2, 4], [2, 5]], [[0, 6]])",0.9667,0.9583,0.9778,0.9663
"([[1, 8], [1, 10], [1, 11], [5, 8], [5, 11]], [[1, 1], [2, 1], [2, 5]], [[0, 6]])",0.9667,0.9583,0.9778,0.9663
"([[1, 8], [1, 10], [1, 11], [5, 8], [5, 11]], [[0, 4], [1, 1], [2, 5]], [[0, 6]])",0.9667,0.9583,0.9778,0.9663
"([[4, 11], [5, 7], [5, 8], [5, 10], [5, 11]], [[1, 5], [2, 4], [2, 5]], [[0, 9]])",0.9667,0.9583,0.9778,0.9663
"([[0, 8], [0, 10], [1, 7], [1, 8], [4, 6]], [[0, 4], [1, 0], [1, 1]], [[2, 11]])",0.9333,0.9345,0.9345,0.9345
"([[1, 8], [1, 10], [5, 8], [5, 10], [5, 11]], [[1, 1], [1, 5], [2, 5]], [[0, 9]])",0.9667,0.9583,0.9778,0.9663
"([[1, 8], [1, 10], [5, 8], [5, 10], [5, 11]], [[1, 1], [1, 5], [2, 5]], [[0, 6]])",0.9667,0.9583,0.9778,0.9663
