connections,test_acc,precision,recall,f1
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",1.0,1.0,1.0,1.0
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",0.9667,0.9583,0.9667,0.9602
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",0.9667,0.9583,0.9744,0.9644
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",0.9667,0.9667,0.9697,0.9666
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",0.9667,0.9744,0.963,0.9671
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",0.9333,0.9167,0.9167,0.9167
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",0.9333,0.9394,0.9333,0.9296
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",0.9333,0.9487,0.9394,0.9389
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",0.9667,0.9744,0.9583,0.9644
"([[0, 11], [2, 7], [2, 10]], [[1, 2], [2, 0]], [[0, 9], [2, 9]])",1.0,1.0,1.0,1.0
