connections,test_acc,precision,recall,f1
"([[2, 0], [2, 7], [2, 10], [2, 11], [5, 9]], [[0, 5], [1, 1], [1, 2]], [[0, 9]])",0.9667,0.9697,0.9667,0.9666
"([[1, 7], [1, 10], [1, 11], [2, 2], [2, 7]], [[1, 1], [1, 2], [2, 1]], [[0, 9]])",0.9667,0.9697,0.9667,0.9666
"([[1, 7], [1, 10], [2, 2], [2, 7], [2, 11]], [[1, 1], [1, 2], [2, 2]], [[0, 9]])",1.0,1.0,1.0,1.0
"([[1, 10], [2, 2], [2, 7], [2, 8], [2, 11]], [[1, 1], [1, 2], [2, 2]], [[0, 9]])",1.0,1.0,1.0,1.0
"([[1, 10], [1, 11], [2, 2], [2, 7], [2, 8]], [[1, 1], [1, 2], [2, 2]], [[0, 9]])",1.0,1.0,1.0,1.0
"([[0, 7], [2, 2], [2, 7], [2, 10], [2, 11]], [[1, 0], [1, 2], [2, 2]], [[2, 6]])",0.9667,0.9697,0.9667,0.9666
"([[0, 10], [1, 10], [1, 11], [2, 7], [2, 11]], [[1, 0], [1, 2], [2, 1]], [[0, 9]])",0.9667,0.9697,0.9667,0.9666
"([[1, 7], [1, 10], [2, 7], [2, 10], [2, 11]], [[1, 1], [1, 2], [2, 2]], [[0, 9]])",0.9667,0.9697,0.9667,0.9666
"([[0, 10], [1, 11], [2, 2], [2, 7], [2, 10]], [[1, 0], [1, 2], [2, 1]], [[0, 8]])",0.9333,0.9394,0.9394,0.9333
"([[1, 7], [1, 11], [2, 7], [2, 10], [2, 11]], [[1, 1], [1, 2], [2, 1]], [[0, 11]])",0.9667,0.9697,0.9667,0.9666
