connections,test_acc,precision,recall,f1
"([[0, 6], [0, 9], [1, 6], [3, 11], [5, 11]], [[3, 1], [9, 0], [9, 9]], [[0, 3], [0, 9], [1, 8]])",0.6333,0.6667,0.5,0.5556
"([[1, 11], [3, 11], [4, 11], [7, 11], [9, 11]], [[3, 3], [3, 4], [3, 7]], [[0, 5], [0, 9], [2, 3]])",0.6,0.6364,0.4667,0.5079
"([[0, 6], [0, 9], [3, 11], [9, 2], [9, 6]], [[5, 9], [8, 3], [9, 9]], [[0, 4], [0, 9], [1, 8]])",0.9667,0.9697,0.9722,0.9696
"([[1, 11], [2, 6], [2, 10], [5, 11], [9, 11]], [[3, 2], [5, 2], [7, 1]], [[0, 3], [0, 5], [2, 7]])",0.9667,0.9697,0.9722,0.9696
"([[1, 11], [4, 11], [6, 11], [7, 11], [9, 11]], [[7, 1], [7, 4], [7, 6]], [[0, 5], [0, 9], [2, 7]])",0.6,0.6364,0.4667,0.5079
"([[0, 6], [3, 11], [4, 11], [5, 11], [9, 6]], [[3, 3], [9, 0], [9, 9]], [[0, 9], [2, 3], [2, 7]])",0.9667,0.9697,0.9722,0.9696
"([[1, 11], [2, 6], [2, 11], [3, 11], [9, 11]], [[3, 1], [5, 2], [9, 0]], [[0, 3], [0, 5], [0, 9]])",0.6333,0.6667,0.5,0.5556
"([[0, 6], [1, 11], [3, 11], [5, 11], [7, 11]], [[3, 1], [3, 3], [9, 0]], [[0, 5], [0, 9], [2, 3]])",0.9667,0.9697,0.9722,0.9696
"([[1, 11], [2, 6], [4, 10], [4, 11], [9, 11]], [[7, 1], [7, 4], [9, 9]], [[0, 5], [1, 2], [2, 7]])",0.6,0.6364,0.4667,0.5079
"([[1, 11], [2, 11], [3, 11], [4, 11], [9, 6]], [[3, 3], [7, 1], [9, 9]], [[0, 9], [2, 3], [2, 7]])",0.9667,0.9697,0.9722,0.9696
