"([[2, 22], [2, 25], [2, 27], [2, 95]], [[0, 2], [1, 2], [1, 6]])",0.9902,0.9898,0.9907,0.9901
"([[6, 22], [6, 25], [6, 27], [6, 95]], [[0, 6], [1, 3], [1, 6]])",0.9932,0.9931,0.9934,0.9932
"([[6, 22], [6, 25], [6, 27], [6, 95]], [[0, 6], [1, 4], [1, 6]])",0.9945,0.9942,0.9947,0.9944
"([[9, 22], [9, 25], [9, 27], [9, 95]], [[0, 5], [0, 9], [1, 9]])",0.9957,0.9955,0.9959,0.9957
"([[5, 22], [5, 25], [5, 27], [5, 95]], [[0, 5], [1, 3], [1, 5]])",0.9932,0.9931,0.9934,0.9932
"([[6, 22], [6, 25], [6, 27], [6, 95]], [[0, 6], [1, 4], [1, 6]])",0.9957,0.9956,0.9958,0.9957
"([[4, 22], [4, 25], [4, 27], [4, 95]], [[0, 4], [1, 3], [1, 4]])",0.9938,0.9937,0.9941,0.9938
"([[0, 22], [0, 25], [0, 27], [0, 95]], [[0, 0], [0, 5], [1, 0]])",0.9957,0.9956,0.9958,0.9957
"([[4, 22], [4, 25], [4, 27], [4, 95]], [[0, 4], [1, 0], [1, 4]])",0.9938,0.9936,0.9942,0.9938
"([[3, 22], [3, 25], [3, 27], [3, 95]], [[0, 0], [0, 3], [1, 3]])",0.9932,0.9932,0.9934,0.9932
