connections,test_acc,precision,recall,f1
"([[8, 22], [8, 25], [8, 27], [8, 95]], [[0, 8], [1, 7], [1, 8]], [[1, 27]])",0.9914,0.9911,0.9918,0.9914
"([[8, 22], [8, 25], [8, 27], [8, 95]], [[0, 8], [1, 3], [1, 8]], [[1, 27]])",0.9914,0.9911,0.9918,0.9914
"([[8, 22], [8, 25], [8, 27], [8, 95]], [[0, 8], [1, 3], [1, 8]], [[1, 27]])",0.9914,0.9911,0.9918,0.9914
"([[3, 22], [3, 25], [3, 27], [3, 95]], [[0, 3], [0, 8], [1, 3]], [[0, 27]])",0.9914,0.9911,0.9918,0.9914
"([[8, 22], [8, 25], [8, 27], [8, 95]], [[0, 8], [1, 6], [1, 8]], [[1, 27]])",0.9914,0.9911,0.9918,0.9914
"([[8, 22], [8, 25], [8, 27], [8, 95]], [[0, 8], [1, 7], [1, 8]], [[0, 27]])",0.9914,0.9911,0.9918,0.9914
"([[7, 22], [7, 25], [7, 27], [7, 95]], [[0, 3], [0, 7], [1, 7]], [[1, 27]])",0.9914,0.9911,0.9918,0.9914
"([[7, 22], [7, 25], [7, 27], [7, 95]], [[0, 7], [0, 8], [1, 7]], [[1, 27]])",0.9914,0.9911,0.9918,0.9914
"([[8, 22], [8, 25], [8, 27], [8, 95]], [[0, 8], [1, 6], [1, 8]], [[1, 27]])",0.9914,0.9911,0.9918,0.9914
"([[3, 22], [3, 25], [3, 27], [3, 95]], [[0, 3], [0, 7], [1, 3]], [[0, 27]])",0.9914,0.9911,0.9918,0.9914
