connections,test_acc,precision,recall,f1
"([[1, 22], [1, 25], [1, 27], [1, 95]], [[0, 1], [1, 1], [1, 8]], [[1, 27]])",0.9957,0.9957,0.9958,0.9957
"([[1, 22], [1, 25], [1, 27], [1, 95]], [[0, 1], [1, 1], [1, 8]], [[1, 27]])",0.9957,0.9957,0.9958,0.9957
"([[1, 22], [1, 25], [1, 27], [1, 95]], [[0, 1], [1, 1], [1, 8]], [[0, 27]])",0.9957,0.9957,0.9958,0.9957
"([[1, 22], [1, 25], [1, 27], [1, 95]], [[0, 1], [1, 0], [1, 1]], [[1, 27]])",0.9957,0.9957,0.9958,0.9957
"([[1, 22], [1, 25], [1, 27], [1, 95]], [[0, 1], [0, 7], [1, 1]], [[1, 27]])",0.9957,0.9957,0.9958,0.9957
"([[8, 22], [8, 25], [8, 27], [8, 95]], [[0, 8], [1, 0], [1, 8]], [[0, 27]])",0.9957,0.9957,0.9958,0.9957
"([[1, 22], [1, 25], [1, 27], [1, 95]], [[0, 0], [0, 1], [1, 1]], [[1, 27]])",0.9957,0.9957,0.9958,0.9957
"([[1, 22], [1, 25], [1, 27], [1, 95]], [[0, 1], [1, 1], [1, 7]], [[1, 27]])",0.9957,0.9957,0.9958,0.9957
"([[1, 22], [1, 25], [1, 27], [1, 95]], [[0, 0], [0, 1], [1, 1]], [[0, 27]])",0.9957,0.9957,0.9958,0.9957
"([[8, 22], [8, 25], [8, 27], [8, 95]], [[0, 8], [1, 0], [1, 8]], [[0, 27]])",0.9957,0.9957,0.9958,0.9957
