connections,test_acc,precision,recall,f1
"([[7, 22], [7, 24], [7, 25], [7, 27]], [[5, 7], [5, 9], [7, 7]], [[0, 5], [1, 5], [1, 7]])",0.984,0.9829,0.9854,0.9839
"([[7, 22], [7, 25], [7, 27], [7, 95]], [[7, 4], [7, 7], [8, 7]], [[0, 8], [1, 7], [1, 8]])",0.9908,0.9901,0.9915,0.9907
"([[7, 22], [7, 25], [7, 27], [7, 95]], [[4, 7], [8, 2], [8, 7]], [[0, 4], [0, 8], [1, 8]])",0.9908,0.9901,0.9915,0.9907
"([[7, 22], [7, 25], [7, 27], [7, 76]], [[0, 7], [8, 2], [8, 7]], [[0, 0], [0, 8], [1, 8]])",0.9871,0.9862,0.9881,0.987
"([[7, 22], [7, 25], [7, 27], [7, 95]], [[4, 7], [8, 2], [8, 7]], [[0, 4], [0, 8], [1, 8]])",0.9908,0.9901,0.9915,0.9907
"([[7, 22], [7, 25], [7, 27], [7, 95]], [[7, 7], [8, 2], [8, 7]], [[0, 8], [1, 7], [1, 8]])",0.9908,0.9901,0.9915,0.9907
"([[7, 22], [7, 25], [7, 27], [7, 95]], [[7, 7], [8, 4], [8, 7]], [[0, 8], [1, 7], [1, 8]])",0.9908,0.9901,0.9915,0.9907
"([[4, 22], [4, 25], [4, 27], [4, 95]], [[7, 4], [8, 4], [8, 7]], [[0, 8], [1, 7], [1, 8]])",0.9908,0.9901,0.9915,0.9907
"([[4, 22], [4, 25], [4, 27], [4, 95]], [[7, 4], [7, 7], [8, 4]], [[0, 8], [1, 7], [1, 8]])",0.9908,0.9901,0.9915,0.9907
"([[4, 22], [4, 25], [4, 27], [4, 95]], [[2, 4], [8, 4], [8, 5]], [[0, 8], [1, 2], [1, 8]])",0.9908,0.9901,0.9915,0.9907
